Categorie,F1 Legal-BERT,Support
Affiliate License-Licensee,0.0,26.0
Affiliate License-Licensor,0.0,20.0
Competitive Restriction Exception,0.0,26.0
No-Solicit Of Customers,0.0,15.0
Most Favored Nation,0.0,3.0
Notice Period To Terminate Renewal,0.0,18.0
Unlimited/All-You-Can-Eat-License,0.0,5.0
Uncapped Liability,0.0,16.0
Irrevocable Or Perpetual License,0.07142857142857142,23.0
Non-Transferable License,0.3235294117647059,42.0
Exclusivity,0.5348837209302325,78.0
License Grant,0.6126126126126126,133.0
Change Of Control,0.6226415094339622,61.0
Liquidated Damages,0.6818181818181818,23.0
Renewal Term,0.7,30.0
Joint Ip Ownership,0.7142857142857143,14.0
Post-Termination Services,0.7283950617283951,81.0
Non-Compete,0.7346938775510204,59.0
Non-Disparagement,0.7368421052631579,11.0
Effective Date,0.76,31.0
No-Solicit Of Employees,0.7692307692307693,18.0
Termination For Convenience,0.7878787878787878,40.0
Ip Ownership Assignment,0.7933884297520661,60.0
Volume Restriction,0.7936507936507936,34.0
Source Code Escrow,0.8,5.0
Anti-Assignment,0.8070175438596491,134.0
Rofr/Rofo/Rofn,0.8085106382978723,67.0
Minimum Commitment,0.8181818181818182,88.0
Expiration Date,0.8383233532934131,82.0
Covenant Not To Sue,0.8674698795180723,44.0
Warranty Duration,0.8780487804878049,19.0
Cap On Liability,0.900398406374502,118.0
Revenue/Profit Sharing,0.9285714285714286,82.0
Audit Rights,0.9478672985781991,104.0
Document Name,0.95,21.0
Third Party Beneficiary,0.9523809523809523,11.0
Insurance,0.9691629955947136,113.0
Parties,0.9850746268656716,68.0
Governing Law,0.994413407821229,89.0
